2016-02-18 00:07:13 - DemoLocation state updated to 52.5200066,13.4049540
2016-02-18 00:07:13 - Temperature_GF_Corridor state updated to 18.90000000
2016-02-18 00:07:13 - Temperature_GF_Toilet state updated to 20.90000000
2016-02-18 00:07:13 - Temperature_GF_Living state updated to 19.40000000
2016-02-18 00:07:13 - Temperature_GF_Kitchen state updated to 20.70000000
2016-02-18 00:07:13 - Temperature_FF_Bath state updated to 21.20000000
2016-02-18 00:07:13 - Temperature_FF_Office state updated to 17.90000000
2016-02-18 00:07:13 - Temperature_FF_Child state updated to 18.30000000
2016-02-18 00:07:13 - Temperature_FF_Bed state updated to 21.30000000
2016-02-18 00:07:14 - Date state updated to 2016-02-18T00:07:14
2016-02-18 00:10:00 - Temperature_GF_Corridor state updated to 17.70000000
2016-02-18 00:10:00 - Temperature_GF_Toilet state updated to 19.40000000
2016-02-18 00:10:00 - Temperature_GF_Living state updated to 18.30000000
2016-02-18 00:10:00 - Temperature_GF_Kitchen state updated to 20.90000000
2016-02-18 00:10:00 - Temperature_FF_Bath state updated to 18.10000000
2016-02-18 00:10:00 - Temperature_FF_Office state updated to 19.90000000
2016-02-18 00:10:00 - Temperature_FF_Child state updated to 19.80000000
2016-02-18 00:10:00 - Temperature_FF_Bed state updated to 21.20000000
2016-02-18 00:11:18 - Weather_Humidity state updated to 87
2016-02-18 00:11:18 - Weather_Temperature state updated to 0
2016-02-18 00:11:18 - Weather_Temp_Max state updated to 0
2016-02-18 00:11:18 - Weather_LastUpdate state updated to 2016-02-18T00:11:18
2016-02-18 00:11:18 - Weather_Temp_Min state updated to 0
2016-02-18 00:11:18 - Weather_Humidex state updated to -2.6014222430336000
2016-02-18 00:11:21 - Date state updated to 2016-02-18T00:11:21
2016-02-18 00:11:31 - Date state updated to 2016-02-18T00:11:31
2016-02-18 00:12:18 - Weather_Humidity state updated to 87
2016-02-18 00:12:18 - Weather_Temperature state updated to 0
2016-02-18 00:12:18 - Weather_LastUpdate state updated to 2016-02-18T00:12:18
2016-02-18 00:12:18 - Weather_Temp_Max state updated to 0
2016-02-18 00:12:18 - Weather_Humidex state updated to -2.6014222430336000
2016-02-18 00:12:18 - Weather_Temp_Min state updated to 0
2016-02-18 00:13:18 - Weather_Humidity state updated to 87
2016-02-18 00:13:18 - Weather_Temperature state updated to 0
2016-02-18 00:13:18 - Weather_LastUpdate state updated to 2016-02-18T00:13:18
2016-02-18 00:14:18 - Weather_Humidity state updated to 87
